Nickname,License Plate,Model,Status,Year,Kilometers,Branch Office,Date Start of Activity,VIN (Vehicle Identification Number),Location,Type of service,Financial Responsibility Of,Engine number
Sienna,--,Sienna,Free,2015,123,Tbilisi International Airport,6/7/2025,,,There are no services,,
Gg858jg-1,----,Rav 4,Free,0,169423,Tbilisi International Airport,5/1/2025,,,There are no services,,
CR-V,-1,CR-V,Free,2017,123,Tbilisi International Airport,8/13/2025,,,There are no services,,
1-1,1-1,Metris,Free,0,0,Tbilisi International Airport,7/16/2025,,,There are no services,,
Camry,3-1,Camry,Free,0,0,Tbilisi International Airport,4/12/2025,,,There are no services,,
Outback,5388CC,Outback,Free,2018,170000,Tbilisi International Airport,6/10/2025,,,There are no services,,
Outlander,7467AZ,Outlander ,Free,2018,123,Tbilisi International Airport,7/19/2025,,,There are no services,,
Forester,AA208AH,Fusion,Delivered,2018,123,Tbilisi International Airport,7/29/2025,,,There are no services,,
Elantra,AV700XE,Elantra,Free,2019,78213,Tbilisi International Airport,5/28/2024,,,There are no services,,
avtosisi,AVTOSISI,Prius V,Free,2016,123,Tbilisi International Airport,8/14/2025,,,There are no services,,
Fusion,AZ282ZZ,Fusion,Free,0,1731800,Tbilisi International Airport,4/13/2025,,,There are no services,,
Optima,BB704BM,Optima,Free,0,180312,Tbilisi International Airport,4/13/2025,,,There are no services,,
Prius,BB765EE,Prius,Free,2013,0,Tbilisi International Airport,4/26/2025,,,There are no services,,
PALISADE,BU011LU,Palisade,Free,2020,123,Tbilisi International Airport,8/14/2025,,,There are no services,,
TUCSON ,BU888LU,Tucson,Free,2018,123,Tbilisi International Airport,5/20/2025,,,There are no services,,
Sienna,BZ777EK,Sienna,Delivered,2015,1111,Tbilisi International Airport,6/14/2024,,,There are no services,,
,BZEKBRAT,Elantra,Free,2019,123,Tbilisi International Airport,4/11/2025,,,There are no services,,
Camry-8,CAMRY-8,Camry,Free,0,0,Tbilisi International Airport,3/26/2024,,,There are no services,,
CAMRYAXALI-1,CAMRYAXALI-1,Camry 2021,Free,0,0,Tbilisi International Airport,6/23/2025,,,There are no services,,
Elantra,CC527LC,Elantra,Delivered,2018,87120,Tbilisi International Airport,7/23/2025,,,There are no services,,
Forester,CC891UC,Forester,Delivered,2017,123,Tbilisi International Airport,8/13/2025,,,There are no services,,
Che-1,CHE-1,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-10,CHE-10,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-11,CHE-11,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-12,CHE-12,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-13,CHE-13,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-15,CHE-15,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-3,CHE-3,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-4,CHE-4,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-5,CHE-5,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
Che-6,CHE-6,Outlander sport,Free,0,0,Tbilisi International Airport,3/1/2024,,,There are no services,,
cheroki kaxailuri,CHEROKI KAXAILURI,Grand cherokee,Free,2015,123,Tbilisi International Airport,8/3/2025,,,There are no services,,
Avto,CHEVVI-6,Quest,Free,2014,0,Tbilisi International Airport,4/17/2024,,,There are no services,,
XV GIASPARTN,CO005MF,XV,Delivered,2017,123,Tbilisi International Airport,8/3/2025,,,There are no services,,
Rav 4,CQ914CQ,Rav 4,Delivered,2014,132,Tbilisi International Airport,5/28/2025,,,There are no services,,
Compass,DA028EL,Compass,Delivered,0,177,Tbilisi International Airport,7/21/2024,,,There are no services,,
Outlander,DC761DC,Outlander ,Free,2019,0,Tbilisi International Airport,7/29/2025,,,There are no services,,
SIENA,DD257LD,Sienna,Free,2016,123,Tbilisi International Airport,6/1/2025,,,There are no services,,
Rav 4,DD267DL,Rav 4,Free,2017,111,Tbilisi International Airport,3/15/2024,,,There are no services,,
Sienna,DD987DL,Sienna,Free,2014,222,Tbilisi International Airport,6/13/2024,,,There are no services,,
Sport,DG525OG,Outlander sport,Free,0,37077,Tbilisi International Airport,3/1/2024,,,There are no services,,
camry ,DL667DD,Camry,Free,2014,123,Tbilisi International Airport,6/19/2025,,,There are no services,,
Cruze,DW608DW,Cruze,Free,2018,208974,Tbilisi International Airport,7/21/2024,,,There are no services,,
Prius 4th,EE436HE,Prius 4th,Free,2019,108357,Tbilisi International Airport,5/1/2024,,,There are no services,,
SPORT,EE725EL,Outlander sport,Free,0,72818,Tbilisi International Airport,3/1/2024,,,There are no services,,
EKA,EKAPRIUS,Prius,Free,2015,123,Tbilisi International Airport,7/13/2024,,,There are no services,,
Camry,EU113UE,Camry,Free,2014,0,Tbilisi International Airport,3/26/2024,,,There are no services,,
Outlander,FF948DF,Outlander ,Delivered,2019,123222,Tbilisi International Airport,7/18/2024,,,There are no services,,
Prius,FG043FF,Prius,Free,2014,111,Tbilisi International Airport,3/1/2024,,,There are no services,,
ELANTRAA,FH248FH,Elantra,Free,2014,132,Tbilisi International Airport,6/2/2025,,,There are no services,,
Outlander,FL845FL,Outlander ,Free,2019,123,Tbilisi International Airport,5/31/2024,,,There are no services,,
,FR094FR,Quest,Delivered,2015,120500,Tbilisi International Airport,5/6/2025,,,There are no services,,
Compass,FV853FV,Compass,Delivered,2016,123,Tbilisi International Airport,8/17/2025,,,There are no services,,
Outlander,GA333BY,Outlander ,Delivered,0,79954,Tbilisi International Airport,7/21/2024,,,There are no services,,
Outlander,GA404BY,Outlander ,Free,2019,111,Tbilisi International Airport,3/26/2024,,,There are no services,,
Fusion,GG227AA,Fusion,Free,2018,111,Tbilisi International Airport,4/4/2024,,,There are no services,,
Fusion,GI888QA,Fusion,Free,2016,123,Tbilisi International Airport,6/1/2025,,,There are no services,,
Tucson,GIARAV4,Rav 4,Free,2019,123,Tbilisi International Airport,6/28/2024,,,There are no services,,
Malibu,GIGA MALIBU,Malibu,Free,2018,123,Tbilisi International Airport,6/9/2025,,,There are no services,,
Prius,GULISAG,Prius,Free,2015,123,Tbilisi International Airport,8/7/2024,,,There are no services,,
Prius,GULISAOQROSFERI,Prius,Free,0,0,Tbilisi International Airport,7/21/2024,,,There are no services,,
Forester,HH071PH,Forester,Free,2020,123,Tbilisi International Airport,7/28/2025,,,There are no services,,
Prius C,HM030HH,Prius C,Delivered,2016,180517,Tbilisi International Airport,4/30/2025,,,There are no services,,
Fusion,HM160MM,Fusion,Free,2016,1852739,Tbilisi International Airport,7/10/2024,,,There are no services,,
Fusion,HM885MM,Fusion,Delivered,2015,123,Tbilisi International Airport,8/13/2025,,,There are no services,,
Cruze,HP558HH,Cruze,Free,2017,160267,Tbilisi International Airport,3/1/2024,,,There are no services,,
prius,HU344HU,Prius,Delivered,2015,0,Tbilisi International Airport,7/25/2025,,,There are no services,,
Renegade,HZ625HZ,Renegade,Free,2018,123,Tbilisi International Airport,4/4/2025,,,There are no services,,
Quest,IH047IH,Quest,Delivered,0,0,Tbilisi International Airport,7/21/2024,,,There are no services,,
Prius,II123SS,Prius,Free,2013,0,Tbilisi International Airport,4/26/2025,,,There are no services,,
IKAGIIO-1,IKAGIIO-1,XV,Free,0,0,Tbilisi International Airport,8/4/2024,,,There are no services,,
elantra,IW656II,Elantra,Free,20187,0,Tbilisi International Airport,7/10/2025,,,There are no services,,
Malibu,JG417JG,Malibu,Free,2017,123,Tbilisi International Airport,7/24/2025,,,There are no services,,
Fusion,JG837JG,Fusion,Free,2018,123,Tbilisi International Airport,8/17/2025,,,There are no services,,
Outlander,JH855JH,Outlander ,Free,0,46873,Tbilisi International Airport,6/13/2024,,,There are no services,,
Camry,JJ189MM,Camry,Free,2019,152338,Tbilisi International Airport,6/11/2024,,,There are no services,,
Prius,JJ252JT,Prius,Free,2014,123,Tbilisi International Airport,4/17/2025,,,There are no services,,
CAMRY,JQ197JQ,Camry,Free,2018,123,Tbilisi International Airport,6/3/2025,,,There are no services,,
Prius C,JQ904QQ,Prius C,Free,0,1234567,Tbilisi International Airport,6/14/2024,,,There are no services,,
Elantra,JS034JS,Elantra,Free,2018,125678,Tbilisi International Airport,7/18/2025,,,There are no services,,
Kicks,JS588JS,Kicks,Free,2022,123,Tbilisi International Airport,7/9/2025,,,There are no services,,
,KC767KC,Outback,Free,2016,123,Tbilisi International Airport,7/30/2025,,,There are no services,,
Camry,KQ893QK,Camry,Free,0,0,Tbilisi International Airport,3/26/2024,,,There are no services,,
Rav 4,KU888LO,Rav 4,Free,2017,123,Tbilisi International Airport,6/3/2024,,,There are no services,,
OUTBACK,KX844KK,Outback,Delivered,2016,255246,Tbilisi International Airport,3/1/2024,,,There are no services,,
Avalon,LL484ML,Avalon,Free,2016,123,Tbilisi International Airport,7/19/2025,,,There are no services,,
LL484ML-1,LL484ML-1,Avalon,Free,0,0,Tbilisi International Airport,7/10/2025,,,There are no services,,
Prius,LL877DL,Prius,Delivered,2015,123,Tbilisi International Airport,5/17/2025,,,There are no services,,
Attrage,LM076LL,Attrage,Delivered,2022,29607,Tbilisi International Airport,6/14/2024,,,There are no services,,
Attrage,LM083LL,Attrage,Delivered,2022,33766,Tbilisi International Airport,5/31/2024,,,There are no services,,
CAMRY,LR773RL,Camry,Delivered,2014,138960,Tbilisi International Airport,3/27/2024,,,There are no services,,
Prius C,LURJI PRIUS C,Prius C,Free,2016,123,Tbilisi International Airport,7/12/2024,,,There are no services,,
